player,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct
Norman Powell,Balanced Scorer,14.70059880239521,0.445539846609603,0.4766310448949351,0.47305389221556887
OG Anunoby,Off-Dribble Shooter,12.985781990521327,0.5231297219649553,0.4237707730737947,0.46445497630331756
Onyeka Okongwu,Balanced Scorer,13.094991364421416,0.475685904991747,0.3935243972600497,0.48186528497409326
P.J. Washington,Balanced Scorer,11.597938144329897,0.49070388468026993,0.4070951094135241,0.45103092783505155
Paolo Banchero,Balanced Scorer,10.98366606170599,0.48631609278858995,0.43539750669273836,0.46098003629764067
Pascal Siakam,Balanced Scorer,12.179640718562874,0.462922477655169,0.42999889779828215,0.4802395209580838
Patrick Williams,Off-Dribble Shooter,15.887096774193548,0.44590923772845764,0.47991740501774877,0.3911290322580645
Paul George,Balanced Scorer,17.38053097345133,0.42583812461088105,0.48660776048491994,0.4218289085545723
Payton Pritchard,Balanced Scorer,18.32535885167464,0.40708353891288623,0.5109521069135061,0.4513556618819777
Pelle Larsson,Balanced Scorer,12.01056338028169,0.4838946476497613,0.4086421272722194,0.4788732394366197
Peyton Watson,Balanced Scorer,12.174291938997822,0.5009873942780806,0.4213551982401819,0.4989106753812636
Precious Achiuwa,Balanced Scorer,7.48995983935743,0.5408593257409771,0.3324822357923404,0.5100401606425703
Quentin Grimes,Balanced Scorer,16.163120567375888,0.45404011386667503,0.4807240299633109,0.4326241134751773
Quinten Post,Off-Dribble Shooter,17.836363636363636,0.43009200106976325,0.4477110923489784,0.43636363636363634
RJ Barrett,Balanced Scorer,11.566666666666666,0.4840372813965031,0.38804996375619294,0.49444444444444446
Reed Sheppard,Balanced Scorer,18.902286902286903,0.4082427914051637,0.5064399177213813,0.43451143451143454
Ronald Holland II,Balanced Scorer,11.23003194888179,0.5005443188518124,0.4177036480346551,0.4217252396166134
Royce O'Neale,Off-Dribble Shooter,22.060759493670886,0.38401059278126165,0.5113349239037235,0.42025316455696204
Rudy Gobert,Rim Pressure Slasher,1.8971631205673758,0.7070431834268717,0.21966836879298166,0.7127659574468085
Rui Hachimura,Off-Dribble Shooter,15.834834834834835,0.4523569649796602,0.47668890670757935,0.5105105105105106
Russell Westbrook,Balanced Scorer,14.774603174603175,0.44001868764947594,0.46063084978571317,0.43174603174603177
Ryan Dunn,Off-Dribble Shooter,12.174672489082969,0.5171440236931232,0.4024866407712503,0.45414847161572053
Ryan Nembhard,Balanced Scorer,16.35909090909091,0.4183257747998445,0.49746392468163003,0.45
Ryan Rollins,Balanced Scorer,14.236842105263158,0.45559472366632703,0.4698244968080717,0.4605263157894737
Saddiq Bey,Balanced Scorer,12.996116504854369,0.4790777989883926,0.4362374013805869,0.4446601941747573
Sam Hauser,Off-Dribble Shooter,23.673529411764704,0.3707998805855713,0.5363182883407842,0.4176470588235294
Sam Merrill,Off-Dribble Shooter,21.769565217391303,0.38453725139449163,0.5323712021647481,0.46956521739130436
Sandro Mamukelashvili,Balanced Scorer,12.448648648648648,0.49758803430466725,0.41214745639734696,0.527027027027027
Santi Aldama,Balanced Scorer,13.504291845493562,0.46132510885910366,0.4476074834813895,0.48068669527896996
Scottie Barnes,Balanced Scorer,10.03641456582633,0.5135235897172259,0.3923560581211847,0.5
Shaedon Sharpe,Balanced Scorer,13.483585858585858,0.4771753624115579,0.4541537991772457,0.45454545454545453
Shai Gilgeous-Alexander,Balanced Scorer,12.396475770925111,0.46438515658101553,0.4897477166706708,0.5539647577092511
Sidy Cissoko,Off-Dribble Shooter,16.854545454545455,0.4534117795587234,0.4605186647614281,0.38636363636363635
Simone Fontecchio,Balanced Scorer,18.7,0.41593020128376584,0.49479553447817815,0.4033333333333333
Sion James,Off-Dribble Shooter,15.70353982300885,0.4598812939781232,0.45965865914841464,0.3805309734513274
Stephen Curry,Balanced Scorer,19.025210084033613,0.4028975214164656,0.5060433352255217,0.4677871148459384
Stephon Castle,Balanced Scorer,11.333333333333334,0.49896134121997343,0.40629492755277424,0.4473684210526316
Svi Mykhailiuk,Off-Dribble Shooter,17.420664206642066,0.4343915625537564,0.4693531791190738,0.47601476014760147
T.J. McConnell,Balanced Scorer,11.543252595155709,0.46184696738500763,0.4850577219476172,0.532871972318339
Tari Eason,Balanced Scorer,14.435897435897436,0.4643164209993265,0.44016284436245734,0.4658119658119658
Terance Mann,Balanced Scorer,13.02016129032258,0.47730652948470015,0.4331850908085453,0.45161290322580644
Tim Hardaway Jr.,Off-Dribble Shooter,20.16417910447761,0.4026003962419596,0.5147870414464666,0.44136460554371004
Tobias Harris,Balanced Scorer,13.162576687116564,0.46908787347473957,0.4415715356485133,0.4662576687116564
Toumani Camara,Off-Dribble Shooter,17.62015503875969,0.4378912897522973,0.4724859801585235,0.43410852713178294
Tre Johnson,Balanced Scorer,18.024813895781637,0.40709600775853716,0.5036119258117739,0.4466501240694789
Tre Jones,Balanced Scorer,8.056291390728477,0.5107136437195868,0.40729346672173067,0.5496688741721855
Tre Mann,Balanced Scorer,16.906666666666666,0.4178924928558635,0.5233143091978183,0.37333333333333335
Trey Murphy III,Balanced Scorer,15.944444444444445,0.4668661417915555,0.4573696706596404,0.4791666666666667
Tristan da Silva,Off-Dribble Shooter,15.115384615384615,0.45496057273200263,0.45403821975098607,0.4358974358974359
Tyrese Martin,Off-Dribble Shooter,17.146938775510204,0.424166889187873,0.48439983810853204,0.4
Tyrese Maxey,Balanced Scorer,14.262125902992777,0.4539975361953839,0.4651774571308545,0.4695562435500516
VJ Edgecombe,Balanced Scorer,14.293165467625899,0.4742572829935576,0.4377096419881579,0.42805755395683454
Victor Wembanyama,Balanced Scorer,12.70377358490566,0.5081978409639762,0.42204649134044364,0.5056603773584906
Vince Williams Jr.,Off-Dribble Shooter,17.310344827586206,0.42240236873826753,0.4825737682965169,0.33620689655172414
Vít Krejčí,Off-Dribble Shooter,20.78523489932886,0.3955546316923387,0.5263319946404105,0.4597315436241611
Walter Clayton Jr.,Balanced Scorer,17.269709543568464,0.4133083791586864,0.49176726267576604,0.4066390041493776
Wendell Carter Jr.,Balanced Scorer,12.997275204359672,0.5157697794268015,0.38863475122572066,0.5040871934604905
Will Richard,Off-Dribble Shooter,16.469026548672566,0.44411137181558624,0.46860212909928767,0.47345132743362833
Zaccharie Risacher,Off-Dribble Shooter,14.544378698224852,0.4889290841506232,0.4271776585740176,0.46153846153846156
